date,price,warehouse_capacity,truck_capacity
2023-07-14,148.48,58,61
2023-07-15,130.28,111,103
2023-07-16,136.57,77,69
2023-07-17,147.79,84,81
2023-07-18,121.0,89,86
2023-07-19,62.61,70,61
2023-07-20,110.43,78,70
2023-07-21,100.06,88,71
2023-07-22,104.94,82,76
2023-07-23,126.07,91,90
2023-07-24,105.67,91,78
2023-07-25,95.67,80,74
2023-07-26,139.24,77,71
2023-07-27,129.48,88,71
2023-07-28,117.61,75,70
2023-07-29,50.1,90,84
2023-07-30,111.98,73,71
2023-07-31,60.93,80,76
2023-08-01,69.08,80,80
2023-08-02,106.84,77,80
2023-08-03,84.84,81,71
2023-08-04,93.16,68,64
2023-08-05,83.52,89,79
2023-08-06,64.83,77,75
2023-08-07,66.71,68,67
2023-08-08,122.0,58,61
2023-08-09,107.82,82,74
2023-08-10,147.37,62,47
2023-08-11,98.53,61,55
2023-08-12,52.34,82,73
2023-08-13,124.22,104,88
2023-08-14,52.62,80,80
2023-08-15,119.05,72,62
2023-08-16,86.16,75,76
2023-08-17,86.89,66,60
2023-08-18,116.12,70,60
2023-08-19,61.15,70,59
2023-08-20,83.57,51,49
2023-08-21,146.97,55,55
2023-08-22,101.37,61,62
2023-08-23,139.42,76,70
2023-08-24,120.22,69,64
2023-08-25,130.97,53,62
2023-08-26,82.41,72,66
2023-08-27,75.37,48,45
2023-08-28,137.86,70,75
2023-08-29,116.42,64,58
2023-08-30,100.33,61,54
2023-08-31,111.78,38,45
2023-09-01,107.38,74,68
2023-09-02,100.43,77,70
2023-09-03,65.75,71,68
2023-09-04,81.43,58,55
2023-09-05,97.56,50,51
2023-09-06,130.77,61,61
2023-09-07,87.88,48,57
2023-09-08,127.49,70,60
2023-09-09,56.31,49,59
2023-09-10,90.44,42,43
2023-09-11,61.81,54,51
2023-09-12,59.97,56,52
2023-09-13,95.35,50,50
2023-09-14,131.73,67,71
2023-09-15,89.78,61,64
2023-09-16,120.23,64,55
2023-09-17,105.28,60,55
2023-09-18,130.27,64,58
2023-09-19,56.45,60,67
2023-09-20,134.28,54,59
2023-09-21,73.82,54,55
2023-09-22,144.62,75,70
2023-09-23,93.07,67,66
2023-09-24,75.26,68,49
2023-09-25,77.12,46,50
2023-09-26,139.73,72,60
2023-09-27,67.22,55,67
2023-09-28,140.69,51,57
2023-09-29,123.4,54,52
2023-09-30,83.35,68,56
2023-10-01,145.24,55,50
2023-10-02,60.76,68,61
2023-10-03,115.25,56,44
2023-10-04,79.35,65,60
2023-10-05,70.93,63,64
2023-10-06,139.02,66,58
2023-10-07,142.23,73,66
2023-10-08,80.53,60,59
2023-10-09,120.7,65,65
2023-10-10,108.37,74,70
2023-10-11,109.39,57,58
2023-10-12,129.77,55,44
2023-10-13,91.2,73,72
2023-10-14,76.23,63,65
2023-10-15,57.57,73,69
2023-10-16,66.56,81,72
2023-10-17,117.54,69,57
2023-10-18,83.62,44,50
2023-10-19,89.97,56,40
2023-10-20,129.23,63,59
2023-10-21,82.43,73,73
2023-10-22,66.39,75,79
2023-10-23,131.52,63,63
2023-10-24,58.53,72,72
2023-10-25,52.38,50,56
2023-10-26,65.55,70,68
2023-10-27,94.38,58,50
2023-10-28,104.01,79,69
2023-10-29,107.66,61,65
2023-10-30,109.45,66,64
2023-10-31,105.94,65,70
2023-11-01,116.56,64,59
2023-11-02,88.1,46,44
2023-11-03,77.58,63,60
2023-11-04,92.91,63,52
2023-11-05,69.26,65,58
2023-11-06,100.23,61,56
2023-11-07,116.31,58,55
2023-11-08,105.91,72,70
2023-11-09,123.56,67,61
2023-11-10,56.9,81,74
2023-11-11,141.57,84,74
2023-11-12,90.19,77,67
2023-11-13,142.58,58,53
2023-11-14,144.92,78,76
2023-11-15,149.68,83,75
2023-11-16,82.77,68,58
2023-11-17,52.79,90,76
2023-11-18,126.29,88,72
2023-11-19,72.16,77,72
2023-11-20,131.47,73,69
2023-11-21,66.18,77,73
2023-11-22,105.04,91,80
2023-11-23,55.37,86,84
2023-11-24,70.13,77,58
2023-11-25,124.87,88,78
2023-11-26,57.21,83,83
2023-11-27,55.64,80,69
2023-11-28,89.95,101,83
2023-11-29,145.32,76,81
2023-11-30,52.83,89,80
2023-12-01,54.59,99,94
2023-12-02,120.68,87,80
2023-12-03,53.99,81,75
2023-12-04,68.49,81,73
2023-12-05,82.57,77,81
2023-12-06,74.57,93,84
2023-12-07,77.53,99,96
2023-12-08,100.75,98,84
2023-12-09,112.33,97,100
2023-12-10,102.05,96,86
2023-12-11,74.77,103,90
2023-12-12,101.03,116,111
2023-12-13,87.33,106,96
2023-12-14,125.7,111,100
2023-12-15,102.56,95,89
2023-12-16,144.26,115,94
2023-12-17,68.37,110,94
2023-12-18,74.07,109,104
2023-12-19,59.32,113,102
2023-12-20,70.81,131,109
2023-12-21,72.26,127,112
2023-12-22,85.52,113,113
2023-12-23,119.54,120,111
2023-12-24,134.5,118,103
2023-12-25,108.69,131,119
2023-12-26,83.27,125,113
2023-12-27,74.24,114,103
2023-12-28,87.98,111,90
2023-12-29,68.45,110,96
2023-12-30,57.77,111,101
2023-12-31,108.53,118,97
2024-01-01,70.77,115,103
2024-01-02,72.37,108,102
2024-01-03,55.52,109,97
2024-01-04,54.89,128,107
2024-01-05,68.6,139,130
2024-01-06,147.36,119,109
2024-01-07,53.02,128,116
2024-01-08,65.01,141,116
2024-01-09,134.03,137,124
2024-01-10,69.98,130,121
2024-01-11,74.69,133,118
2024-01-12,77.28,112,98
2024-01-13,140.52,135,118
2024-01-14,128.97,142,121
2024-01-15,59.79,121,100
2024-01-16,113.89,126,109
2024-01-17,122.79,139,119
2024-01-18,57.45,140,125
2024-01-19,84.27,148,129
2024-01-20,148.62,152,132
2024-01-21,149.58,132,114
2024-01-22,85.99,151,135
2024-01-23,148.02,139,130
2024-01-24,67.54,127,107
2024-01-25,50.88,136,121
2024-01-26,60.52,144,120
2024-01-27,64.51,149,129
2024-01-28,122.58,144,122
2024-01-29,80.42,149,125
2024-01-30,122.12,162,142
2024-01-31,140.98,139,133
2024-02-01,73.79,153,135
2024-02-02,133.31,142,118
2024-02-03,95.79,145,118
2024-02-04,140.05,148,136
2024-02-05,64.02,168,136
2024-02-06,123.78,154,138
2024-02-07,107.6,152,132
2024-02-08,101.96,157,139
2024-02-09,118.69,157,141
2024-02-10,117.14,162,131
2024-02-11,120.57,164,133
2024-02-12,95.2,146,131
2024-02-13,97.24,160,141
2024-02-14,131.71,147,135
2024-02-15,128.84,186,159
2024-02-16,130.36,169,149
2024-02-17,85.34,165,139
2024-02-18,104.37,150,131
2024-02-19,147.47,166,142
2024-02-20,93.96,164,138
2024-02-21,98.82,175,148
2024-02-22,130.45,163,133
2024-02-23,58.51,164,142
2024-02-24,142.39,175,144
2024-02-25,140.31,164,136
2024-02-26,123.25,163,141
2024-02-27,77.93,153,138
2024-02-28,88.54,161,139
2024-02-29,142.64,170,149
2024-03-01,75.94,185,161
2024-03-02,66.06,184,158
2024-03-03,104.61,160,134
2024-03-04,105.14,174,151
2024-03-05,79.33,149,120
2024-03-06,118.32,163,142
2024-03-07,122.14,179,149
2024-03-08,133.27,175,150
2024-03-09,116.04,173,148
2024-03-10,60.3,178,152
2024-03-11,146.55,163,132
2024-03-12,113.64,184,159
2024-03-13,52.06,171,149
2024-03-14,136.78,181,156
2024-03-15,101.39,164,143
2024-03-16,93.75,155,134
2024-03-17,79.76,172,146
2024-03-18,59.83,158,137
2024-03-19,73.82,197,163
2024-03-20,128.36,154,130
2024-03-21,111.22,180,156
2024-03-22,101.65,185,152
2024-03-23,130.66,180,158
2024-03-24,122.93,182,153
2024-03-25,135.8,167,152
2024-03-26,129.35,181,153
2024-03-27,149.2,174,145
2024-03-28,56.85,167,146
2024-03-29,73.98,171,144
2024-03-30,96.21,171,146
2024-03-31,101.01,171,152
2024-04-01,86.77,171,150
2024-04-02,50.43,178,149
2024-04-03,120.98,181,152
2024-04-04,63.96,178,153
2024-04-05,140.04,178,160
2024-04-06,78.06,168,144
2024-04-07,116.03,176,147
2024-04-08,144.94,180,158
2024-04-09,80.86,172,144
2024-04-10,88.23,175,148
2024-04-11,144.46,173,148
2024-04-12,138.46,180,158
2024-04-13,66.13,173,153
2024-04-14,141.31,174,153
2024-04-15,55.1,168,146
2024-04-16,104.77,165,147
2024-04-17,120.09,171,142
2024-04-18,99.44,191,165
2024-04-19,67.21,186,152
2024-04-20,141.3,192,165
2024-04-21,149.69,168,143
2024-04-22,53.81,173,149
2024-04-23,68.34,163,137
2024-04-24,99.44,169,143
2024-04-25,144.13,181,153
2024-04-26,68.04,181,147
2024-04-27,94.9,179,152
2024-04-28,113.64,176,139
2024-04-29,130.12,171,149
2024-04-30,115.99,175,158
2024-05-01,51.47,176,152
2024-05-02,91.84,178,151
2024-05-03,126.84,167,148
2024-05-04,101.4,179,141
2024-05-05,148.14,176,143
2024-05-06,93.22,160,142
2024-05-07,141.68,182,153
2024-05-08,67.18,164,149
2024-05-09,117.59,171,146
2024-05-10,100.91,172,139
2024-05-11,109.83,160,143
2024-05-12,143.55,181,155
2024-05-13,52.84,175,149
2024-05-14,76.63,167,149
2024-05-15,102.51,156,135
2024-05-16,98.81,155,140
2024-05-17,66.28,166,148
2024-05-18,74.65,151,136
2024-05-19,74.51,172,148
2024-05-20,53.11,170,142
2024-05-21,119.64,166,140
2024-05-22,147.94,176,149
2024-05-23,90.72,178,164
2024-05-24,126.13,154,132
2024-05-25,57.03,170,149
2024-05-26,107.28,164,139
2024-05-27,70.37,149,127
2024-05-28,51.25,159,142
2024-05-29,149.03,167,142
2024-05-30,112.79,168,147
2024-05-31,94.27,167,136
2024-06-01,125.12,165,144
2024-06-02,134.22,162,139
2024-06-03,126.85,168,146
2024-06-04,54.31,162,144
2024-06-05,99.35,151,132
2024-06-06,97.24,153,137
2024-06-07,113.69,153,137
2024-06-08,130.82,155,133
2024-06-09,95.63,156,134
2024-06-10,116.18,143,125
2024-06-11,137.28,166,145
2024-06-12,69.92,147,122
2024-06-13,58.76,140,128
2024-06-14,77.72,137,115
2024-06-15,53.4,140,116
2024-06-16,50.4,138,123
2024-06-17,128.73,128,111
2024-06-18,72.17,136,112
2024-06-19,102.77,134,112
2024-06-20,69.99,152,129
2024-06-21,144.55,127,111
2024-06-22,67.92,148,120
2024-06-23,148.25,159,129
2024-06-24,72.61,145,126
2024-06-25,107.03,134,128
2024-06-26,87.82,126,108
2024-06-27,147.93,142,119
2024-06-28,81.41,132,109
2024-06-29,112.76,132,118
2024-06-30,87.91,143,129
2024-07-01,88.9,138,113
2024-07-02,123.78,137,118
2024-07-03,123.19,139,125
2024-07-04,121.9,133,116
2024-07-05,103.74,119,104
2024-07-06,79.54,123,105
2024-07-07,127.72,129,112
2024-07-08,67.13,131,116
2024-07-09,108.2,139,130
2024-07-10,77.23,125,104
2024-07-11,72.27,149,127
2024-07-12,146.6,134,122
2024-07-13,108.2,135,109
2024-07-14,67.35,120,106
2024-07-15,101.22,150,126
2024-07-16,109.02,119,108
2024-07-17,74.64,124,115
2024-07-18,92.22,131,113
2024-07-19,143.34,128,111
2024-07-20,134.16,118,104
2024-07-21,97.2,122,114
2024-07-22,149.73,131,119
2024-07-23,86.79,128,114
2024-07-24,135.79,115,115
2024-07-25,130.27,106,92
2024-07-26,85.23,139,117
2024-07-27,76.45,112,103
2024-07-28,121.91,106,92
2024-07-29,79.11,120,104
2024-07-30,134.87,123,113
2024-07-31,53.37,109,96
2024-08-01,137.6,139,116
2024-08-02,133.27,103,97
2024-08-03,96.83,124,104
2024-08-04,96.96,138,119
2024-08-05,57.61,105,90
2024-08-06,76.51,125,107
2024-08-07,70.07,93,80
2024-08-08,103.74,99,86
2024-08-09,53.62,112,98
2024-08-10,72.14,101,91
2024-08-11,135.77,107,100
2024-08-12,67.61,100,91
2024-08-13,131.77,93,79
2024-08-14,101.14,119,110
2024-08-15,78.81,103,92
2024-08-16,121.0,91,78
2024-08-17,123.7,108,99
2024-08-18,61.84,112,111
2024-08-19,62.93,110,104
2024-08-20,147.03,102,80
2024-08-21,85.18,103,98
2024-08-22,103.28,103,91
2024-08-23,95.91,88,81
2024-08-24,90.83,98,91
2024-08-25,108.75,103,98
2024-08-26,127.23,100,96
2024-08-27,146.82,118,106
2024-08-28,52.92,109,102
2024-08-29,110.6,96,85
2024-08-30,104.82,89,79
2024-08-31,70.56,89,84
2024-09-01,71.05,106,89
2024-09-02,106.37,100,93
2024-09-03,98.69,100,94
2024-09-04,74.59,99,90
2024-09-05,129.29,115,98
2024-09-06,89.71,86,73
2024-09-07,59.7,103,95
2024-09-08,84.35,75,78
2024-09-09,115.93,83,82
2024-09-10,51.08,108,92
2024-09-11,101.75,97,86
2024-09-12,128.14,89,78
2024-09-13,117.14,112,90
2024-09-14,142.59,90,77
2024-09-15,141.62,85,74
2024-09-16,146.41,106,101
2024-09-17,95.43,105,96
2024-09-18,82.84,88,75
2024-09-19,149.85,101,87
2024-09-20,146.35,92,88
2024-09-21,106.41,95,80
2024-09-22,77.02,104,100
2024-09-23,137.63,93,89
2024-09-24,98.52,124,111
2024-09-25,130.01,99,96
2024-09-26,134.54,74,67
2024-09-27,57.6,101,97
2024-09-28,54.44,104,89
2024-09-29,100.83,96,93
2024-09-30,81.22,87,82
2024-10-01,93.58,91,81
2024-10-02,148.43,78,70
2024-10-03,74.03,108,90
2024-10-04,102.91,96,85
2024-10-05,118.97,99,83
2024-10-06,148.4,107,97
2024-10-07,138.79,99,86
2024-10-08,106.73,98,84
2024-10-09,102.37,101,84
2024-10-10,66.78,109,88
2024-10-11,89.17,94,83
2024-10-12,92.92,102,89
2024-10-13,53.6,121,103
2024-10-14,104.28,90,85
2024-10-15,100.52,113,99
2024-10-16,128.02,84,79
2024-10-17,130.83,108,106
2024-10-18,121.85,101,85
2024-10-19,135.53,92,85
2024-10-20,118.23,110,100
2024-10-21,93.89,113,106
2024-10-22,74.77,115,98
2024-10-23,89.28,102,90
2024-10-24,52.11,100,86
2024-10-25,95.87,100,80
2024-10-26,99.59,118,111
2024-10-27,109.65,124,113
2024-10-28,101.15,115,104
2024-10-29,143.16,117,108
2024-10-30,59.64,96,82
2024-10-31,57.82,118,108
2024-11-01,110.94,101,94
2024-11-02,143.81,110,99
2024-11-03,147.93,94,80
2024-11-04,104.83,112,102
2024-11-05,89.45,109,103
2024-11-06,60.76,113,106
2024-11-07,148.38,105,100
2024-11-08,145.32,103,90
2024-11-09,148.55,101,86
2024-11-10,92.33,115,105
2024-11-11,84.33,114,102
2024-11-12,100.19,104,90
2024-11-13,128.19,111,102
2024-11-14,66.64,129,108
2024-11-15,133.09,106,98
2024-11-16,128.64,113,104
2024-11-17,118.03,120,106
2024-11-18,72.55,118,99
2024-11-19,111.08,114,101
2024-11-20,94.84,117,104
2024-11-21,75.31,124,111
2024-11-22,72.48,114,100
2024-11-23,75.84,125,114
2024-11-24,99.71,129,106
2024-11-25,79.04,140,126
2024-11-26,113.76,129,113
2024-11-27,99.63,129,113
2024-11-28,71.26,122,104
2024-11-29,140.12,121,110
2024-11-30,111.89,116,101
2024-12-01,105.58,127,106
2024-12-02,121.46,120,115
2024-12-03,95.47,143,127
2024-12-04,61.11,132,116
2024-12-05,119.89,122,106
2024-12-06,121.36,140,124
2024-12-07,124.46,106,88
2024-12-08,112.26,136,111
2024-12-09,121.33,135,120
2024-12-10,95.33,119,111
2024-12-11,60.32,132,108
2024-12-12,67.76,135,116
2024-12-13,118.31,136,120
2024-12-14,56.05,144,130
2024-12-15,51.87,143,120
2024-12-16,115.2,152,128
2024-12-17,112.52,140,128
2024-12-18,143.71,116,101
2024-12-19,140.66,148,137
2024-12-20,91.38,124,107
2024-12-21,62.46,151,125
2024-12-22,97.46,146,131
2024-12-23,134.9,151,129
2024-12-24,137.97,160,138
2024-12-25,54.66,155,143
2024-12-26,118.93,147,128
2024-12-27,79.1,143,126
2024-12-28,59.52,155,134
2024-12-29,86.44,161,145
2024-12-30,69.73,165,146
2024-12-31,109.07,154,127
